ITERATION,Estimate Pi
1,nan
2,nan
3,nan
4,inf
5,inf
6,inf
7,inf
8,inf
9,inf
10,inf
11,inf
12,inf
13,inf
14,inf
15,inf
16,inf
17,inf
18,inf
19,inf
20,inf
21,inf
22,inf
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,3
35,3
36,4
37,4
38,4
39,4
40,4
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,6
52,6
53,6
54,6
55,6
56,7
57,7
58,8
59,8
60,8
61,8
62,8
63,9
64,9
65,9
66,9
67,9
68,9
69,9
70,9
71,9
72,9
73,9
74,9
75,9
76,9
77,9
78,9
79,10
80,10
81,10
82,10
83,10
84,11
85,11
86,5.5
87,5.5
88,5.5
89,5.5
90,5.5
91,3.66667
92,3.66667
93,3.66667
94,3.66667
95,3.66667
96,3.66667
97,3.66667
98,3.66667
99,3.66667
100,2.75
101,2.75
102,2.75
103,2.75
104,2.75
105,2.75
106,2.75
107,2.75
108,2.75
109,2.75
110,2.75
111,2.75
112,2.75
113,3
114,3
115,3
116,3.25
117,3.25
118,3.25
119,3.25
120,3.25
121,3.25
122,3.5
123,3.5
124,3.5
125,3.75
126,3.75
127,3.75
128,3.75
129,3.75
130,3.75
131,3.75
132,3.75
133,3.75
134,3.75
135,3.75
136,3.75
137,3.75
138,3.75
139,3.75
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4.25
153,4.25
154,4.25
155,4.25
156,4.25
157,4.25
158,4.25
159,4.25
160,4.25
161,4.25
162,4.25
163,4.25
164,4.25
165,4.25
166,4.25
167,4.25
168,4.5
169,4.5
170,4.5
171,4.5
172,4.5
173,4.5
174,4.5
175,4.5
176,4.5
177,4.5
178,4.5
179,4.75
180,4.75
181,4.75
182,4.75
183,4.75
184,5
185,5
186,5
187,5
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4.2
213,4.2
214,4.2
215,4.2
216,4.4
217,4.4
218,4.4
219,4.4
220,4.4
221,4.4
222,4.4
223,4.6
224,4.6
225,4.6
226,4.6
227,4.6
228,4.6
229,4.6
230,3.83333
231,3.83333
232,3.83333
233,3.83333
234,3.83333
235,3.83333
236,4
237,4
238,4
239,4
240,4.16667
241,3.57143
242,3.57143
243,3.57143
244,3.57143
245,3.57143
246,3.57143
247,3.57143
248,3.57143
249,3.57143
250,3.71429
251,3.71429
252,3.71429
253,3.71429
254,3.71429
255,3.71429
256,3.71429
257,3.71429
258,3.71429
259,3.71429
260,3.71429
261,3.71429
262,3.71429
263,3.71429
264,3.71429
265,3.71429
266,3.71429
267,3.71429
268,3.85714
269,3.85714
270,3.85714
271,3.85714
272,3.85714
273,3.85714
274,3.85714
275,3.85714
276,3.85714
277,3.85714
278,3.85714
279,3.85714
280,3.85714
281,3.85714
282,3.85714
283,3.85714
284,3.85714
285,3.85714
286,3.85714
287,3.85714
288,3.85714
289,4
290,4
291,4.14286
292,3.625
293,3.625
294,3.625
295,3.625
296,3.625
297,3.625
298,3.625
299,3.625
300,3.625
301,3.625
302,3.625
303,3.625
304,3.625
305,3.625
306,3.625
307,3.625
308,3.625
309,3.625
310,3.75
311,3.75
312,3.75
313,3.875
314,3.875
315,3.875
316,3.875
317,3.875
318,3.875
319,3.875
320,3.875
321,3.875
322,3.875
323,3.875
324,3.875
325,3.875
326,3.875
327,3.875
328,3.875
329,3.875
330,3.875
331,3.875
332,3.875
333,3.875
334,3.875
335,3.875
336,4
337,3.55556
338,3.55556
339,3.55556
340,3.55556
341,3.55556
342,3.55556
343,3.55556
344,3.55556
345,3.55556
346,3.55556
347,3.2
348,2.90909
349,2.90909
350,2.90909
351,2.90909
352,2.90909
353,2.90909
354,2.90909
355,3
356,3.09091
357,3.09091
358,3.09091
359,3.09091
360,3.09091
361,3.09091
362,3.09091
363,3.09091
364,3.09091
365,3.09091
366,3.09091
367,3.09091
368,3.09091
369,3.09091
370,3.09091
371,2.83333
372,2.83333
373,2.83333
374,2.83333
375,2.83333
376,2.83333
377,2.83333
378,2.83333
379,2.83333
380,2.83333
381,2.83333
382,2.83333
383,2.91667
384,2.91667
385,2.91667
386,2.91667
387,2.91667
388,2.91667
389,2.91667
390,2.91667
391,2.91667
392,2.91667
393,2.91667
394,2.91667
395,2.91667
396,2.91667
397,2.91667
398,2.91667
399,2.91667
400,2.69231
401,2.69231
402,2.69231
403,2.69231
404,2.76923
405,2.84615
406,2.84615
407,2.84615
408,2.84615
409,2.84615
410,2.92308
411,2.92308
412,2.92308
413,2.92308
414,2.92308
415,2.92308
416,2.92308
417,2.92308
418,2.92308
419,2.92308
420,2.92308
421,2.92308
422,2.92308
423,2.92308
424,2.92308
425,2.92308
426,2.92308
427,2.92308
428,2.92308
429,2.92308
430,2.92308
431,2.92308
432,2.92308
433,2.92308
434,2.92308
435,2.92308
436,2.92308
437,2.92308
438,2.92308
439,2.92308
440,3
441,3
442,3
443,3
444,3
445,3
446,3.07692
447,3.07692
448,3.07692
449,3.07692
450,3.07692
451,3.07692
452,3.07692
453,3.07692
454,3.07692
455,3.07692
456,3.07692
457,3.07692
458,3.07692
459,3.07692
460,3.15385
461,3.15385
462,3.15385
463,3.15385
464,3.15385
465,3.15385
466,3.15385
467,3.15385
468,3.15385
469,3.15385
470,3.15385
471,3.15385
472,3.15385
473,3.15385
474,3.15385
475,3.15385
476,3.15385
477,3.15385
478,3.15385
479,2.92857
480,3
481,3
482,3
483,3
484,3
485,3.07143
486,3.07143
487,3.07143
488,3.07143
489,3.07143
490,3.07143
491,3.07143
492,2.86667
493,2.86667
494,2.86667
495,2.86667
496,2.86667
497,2.86667
498,2.86667
499,2.6875
500,2.6875
501,2.6875
502,2.6875
503,2.6875
504,2.6875
505,2.6875
506,2.6875
507,2.6875
508,2.6875
509,2.6875
510,2.6875
511,2.6875
512,2.52941
513,2.52941
514,2.52941
515,2.52941
516,2.52941
517,2.52941
518,2.52941
519,2.52941
520,2.52941
521,2.52941
522,2.52941
523,2.52941
524,2.52941
525,2.52941
526,2.52941
527,2.52941
528,2.52941
529,2.52941
530,2.52941
531,2.52941
532,2.58824
533,2.58824
534,2.58824
535,2.58824
536,2.58824
537,2.58824
538,2.58824
539,2.58824
540,2.58824
541,2.58824
542,2.58824
543,2.58824
544,2.58824
545,2.58824
546,2.58824
547,2.58824
548,2.64706
549,2.64706
550,2.64706
551,2.64706
552,2.64706
553,2.64706
554,2.64706
555,2.64706
556,2.64706
557,2.64706
558,2.70588
559,2.70588
560,2.70588
561,2.76471
562,2.76471
563,2.76471
564,2.76471
565,2.76471
566,2.76471
567,2.76471
568,2.76471
569,2.76471
570,2.76471
571,2.76471
572,2.76471
573,2.76471
574,2.76471
575,2.76471
576,2.76471
577,2.76471
578,2.76471
579,2.76471
580,2.76471
581,2.76471
582,2.76471
583,2.76471
584,2.76471
585,2.76471
586,2.61111
587,2.66667
588,2.66667
589,2.66667
590,2.72222
591,2.72222
592,2.72222
593,2.72222
594,2.72222
595,2.72222
596,2.72222
597,2.77778
598,2.77778
599,2.77778
600,2.77778
601,2.63158
602,2.63158
603,2.63158
604,2.63158
605,2.63158
606,2.63158
607,2.63158
608,2.63158
609,2.63158
610,2.63158
611,2.63158
612,2.63158
613,2.63158
614,2.68421
615,2.68421
616,2.68421
617,2.68421
618,2.68421
619,2.68421
620,2.73684
621,2.73684
622,2.73684
623,2.73684
624,2.73684
625,2.73684
626,2.73684
627,2.73684
628,2.73684
629,2.73684
630,2.73684
631,2.73684
632,2.73684
633,2.73684
634,2.73684
635,2.73684
636,2.73684
637,2.73684
638,2.73684
639,2.73684
640,2.73684
641,2.73684
642,2.73684
643,2.73684
644,2.73684
645,2.73684
646,2.73684
647,2.73684
648,2.73684
649,2.73684
650,2.73684
651,2.73684
652,2.73684
653,2.73684
654,2.73684
655,2.73684
656,2.73684
657,2.6
658,2.6
659,2.6
660,2.6
661,2.6
662,2.6
663,2.6
664,2.6
665,2.6
666,2.6
667,2.6
668,2.6
669,2.6
670,2.6
671,2.6
672,2.6
673,2.6
674,2.6
675,2.6
676,2.6
677,2.6
678,2.6
679,2.6
680,2.6
681,2.6
682,2.6
683,2.6
684,2.6
685,2.6
686,2.6
687,2.6
688,2.65
689,2.65
690,2.65
691,2.65
692,2.65
693,2.65
694,2.65
695,2.65
696,2.65
697,2.65
698,2.65
699,2.65
700,2.65
701,2.65
702,2.65
703,2.65
704,2.65
705,2.65
706,2.65
707,2.65
708,2.65
709,2.65
710,2.52381
711,2.52381
712,2.57143
713,2.61905
714,2.61905
715,2.66667
716,2.66667
717,2.66667
718,2.66667
719,2.71429
720,2.71429
721,2.71429
722,2.71429
723,2.71429
724,2.71429
725,2.7619
726,2.7619
727,2.7619
728,2.80952
729,2.80952
730,2.80952
731,2.80952
732,2.80952
733,2.80952
734,2.80952
735,2.80952
736,2.80952
737,2.80952
738,2.80952
739,2.80952
740,2.80952
741,2.80952
742,2.80952
743,2.80952
744,2.85714
745,2.85714
746,2.85714
747,2.85714
748,2.85714
749,2.90476
750,2.90476
751,2.90476
752,2.95238
753,3
754,3
755,2.86364
756,2.86364
757,2.86364
758,2.86364
759,2.86364
760,2.73913
761,2.73913
762,2.73913
763,2.73913
764,2.73913
765,2.73913
766,2.73913
767,2.73913
768,2.73913
769,2.73913
770,2.73913
771,2.73913
772,2.73913
773,2.73913
774,2.73913
775,2.73913
776,2.625
777,2.625
778,2.625
779,2.625
780,2.625
781,2.625
782,2.625
783,2.625
784,2.625
785,2.625
786,2.625
787,2.625
788,2.52
789,2.52
790,2.52
791,2.52
792,2.52
793,2.52
794,2.52
795,2.52
796,2.52
797,2.52
798,2.52
799,2.52
800,2.52
801,2.52
802,2.56
803,2.6
804,2.6
805,2.6
806,2.6
807,2.64
808,2.64
809,2.64
810,2.64
811,2.64
812,2.68
813,2.57692
814,2.57692
815,2.57692
816,2.57692
817,2.57692
818,2.57692
819,2.57692
820,2.57692
821,2.61538
822,2.61538
823,2.61538
824,2.65385
825,2.65385
826,2.65385
827,2.65385
828,2.65385
829,2.65385
830,2.65385
831,2.65385
832,2.69231
833,2.69231
834,2.69231
835,2.69231
836,2.69231
837,2.69231
838,2.73077
839,2.73077
840,2.73077
841,2.73077
842,2.73077
843,2.73077
844,2.73077
845,2.73077
846,2.62963
847,2.62963
848,2.62963
849,2.62963
850,2.62963
851,2.62963
852,2.62963
853,2.62963
854,2.62963
855,2.62963
856,2.62963
857,2.62963
858,2.62963
859,2.62963
860,2.62963
861,2.62963
862,2.62963
863,2.62963
864,2.62963
865,2.62963
866,2.62963
867,2.62963
868,2.62963
869,2.62963
870,2.62963
871,2.66667
872,2.66667
873,2.66667
874,2.66667
875,2.66667
876,2.7037
877,2.7037
878,2.7037
879,2.7037
880,2.7037
881,2.7037
882,2.74074
883,2.74074
884,2.77778
885,2.81481
886,2.81481
887,2.81481
888,2.81481
889,2.81481
890,2.81481
891,2.81481
892,2.81481
893,2.85185
894,2.85185
895,2.85185
896,2.88889
897,2.88889
898,2.88889
899,2.88889
900,2.88889
901,2.88889
902,2.92593
903,2.92593
904,2.82143
905,2.82143
906,2.82143
907,2.82143
908,2.82143
909,2.82143
910,2.72414
911,2.63333
912,2.63333
913,2.63333
914,2.66667
915,2.66667
916,2.66667
917,2.7
918,2.6129
919,2.6129
920,2.6129
921,2.6129
922,2.6129
923,2.6129
924,2.6129
925,2.6129
926,2.6129
927,2.64516
928,2.67742
929,2.67742
930,2.67742
931,2.67742
932,2.67742
933,2.67742
934,2.67742
935,2.67742
936,2.67742
937,2.67742
938,2.67742
939,2.67742
940,2.67742
941,2.67742
942,2.67742
943,2.67742
944,2.67742
945,2.67742
946,2.67742
947,2.67742
948,2.67742
949,2.67742
950,2.67742
951,2.67742
952,2.67742
953,2.67742
954,2.67742
955,2.67742
956,2.67742
957,2.67742
958,2.70968
959,2.70968
960,2.70968
961,2.70968
962,2.70968
963,2.70968
964,2.70968
965,2.70968
966,2.70968
967,2.70968
968,2.70968
969,2.70968
970,2.625
971,2.625
972,2.625
973,2.625
974,2.625
975,2.625
976,2.625
977,2.625
978,2.625
979,2.625
980,2.625
981,2.625
982,2.625
983,2.625
984,2.625
985,2.625
986,2.625
987,2.625
988,2.625
989,2.625
990,2.625
991,2.625
992,2.625
993,2.625
994,2.625
995,2.625
996,2.625
997,2.625
998,2.625
999,2.625
1000,2.625
1001,2.625
1002,2.625
1003,2.625
1004,2.625
1005,2.625
1006,2.625
1007,2.625
1008,2.625
1009,2.65625
1010,2.65625
1011,2.65625
1012,2.65625
1013,2.65625
1014,2.65625
1015,2.65625
1016,2.65625
1017,2.65625
1018,2.65625
1019,2.65625
1020,2.65625
1021,2.65625
1022,2.65625
1023,2.65625
1024,2.65625
1025,2.65625
1026,2.6875
1027,2.6875
1028,2.6875
1029,2.6875
1030,2.6875
1031,2.6875
1032,2.6875
1033,2.6875
1034,2.6875
1035,2.6875
1036,2.6875
1037,2.6875
1038,2.6875
1039,2.71875
1040,2.71875
1041,2.71875
1042,2.71875
1043,2.63636
1044,2.55882
1045,2.55882
1046,2.55882
1047,2.55882
1048,2.55882
1049,2.55882
1050,2.55882
1051,2.55882
1052,2.55882
1053,2.55882
1054,2.58824
1055,2.58824
1056,2.58824
1057,2.58824
1058,2.58824
1059,2.58824
1060,2.58824
1061,2.58824
1062,2.58824
1063,2.58824
1064,2.58824
1065,2.58824
1066,2.58824
1067,2.58824
1068,2.61765
1069,2.61765
1070,2.61765
1071,2.61765
1072,2.61765
1073,2.61765
1074,2.64706
1075,2.64706
1076,2.64706
1077,2.64706
1078,2.64706
1079,2.64706
1080,2.64706
1081,2.64706
1082,2.64706
1083,2.64706
