ITERATION,Estimate Pi
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
10,nan
11,nan
12,nan
13,nan
14,nan
15,nan
16,nan
17,nan
18,nan
19,nan
20,nan
21,nan
22,nan
23,nan
24,nan
25,nan
26,inf
27,inf
28,inf
29,inf
30,inf
31,inf
32,inf
33,inf
34,inf
35,inf
36,inf
37,inf
38,inf
39,inf
40,inf
41,inf
42,inf
43,inf
44,inf
45,inf
46,inf
47,inf
48,inf
49,inf
50,inf
51,inf
52,inf
53,inf
54,inf
55,inf
56,inf
57,inf
58,inf
59,inf
60,inf
61,inf
62,inf
63,inf
64,inf
65,inf
66,inf
67,inf
68,inf
69,inf
70,6
71,6
72,6
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,8
99,8
100,9
101,9
102,9
103,9
104,9
105,9
106,9
107,9
108,10
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,11
121,11
122,12
123,12
124,13
125,13
126,14
127,14
128,14
129,14
130,14
131,14
132,15
133,15
134,15
135,15
136,15
137,15
138,15
139,15
140,7.5
141,7.5
142,7.5
143,7.5
144,7.5
145,7.5
146,7.5
147,7.5
148,7.5
149,7.5
150,7.5
151,7.5
152,5
153,5.33333
154,5.33333
155,5.33333
156,5.33333
157,5.33333
158,5.33333
159,5.33333
160,5.33333
161,5.33333
162,5.33333
163,5.33333
164,5.33333
165,5.33333
166,5.33333
167,5.33333
168,5.33333
169,5.33333
170,5.33333
171,5.33333
172,5.33333
173,5.33333
174,5.33333
175,5.33333
176,5.33333
177,5.33333
178,5.33333
179,5.33333
180,5.33333
181,5.33333
182,5.33333
183,5.33333
184,5.33333
185,5.33333
186,5.33333
187,5.33333
188,5.33333
189,5.66667
190,5.66667
191,5.66667
192,5.66667
193,5.66667
194,5.66667
195,5.66667
196,5.66667
197,5.66667
198,4.25
199,4.25
200,4.25
201,4.25
202,4.25
203,4.25
204,4.25
205,4.25
206,4.25
207,4.25
208,4.25
209,4.25
210,4.25
211,4.25
212,4.25
213,4.25
214,4.25
215,4.25
216,4.25
217,4.25
218,4.25
219,4.25
220,4.25
221,4.25
222,4.25
223,4.25
224,4.25
225,4.25
226,4.25
227,4.25
228,4.5
229,4.5
230,3.6
231,3.6
232,3.6
233,3.8
234,3.8
235,3.8
236,3.8
237,3.8
238,3.8
239,3.8
240,3.8
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,4
262,4
263,3.33333
264,3.5
265,3.5
266,3.66667
267,3.66667
268,3.66667
269,3.66667
270,3.66667
271,3.66667
272,3.66667
273,3.66667
274,3.66667
275,3.66667
276,3.66667
277,3.66667
278,3.66667
279,3.66667
280,3.66667
281,3.66667
282,3.66667
283,3.66667
284,3.66667
285,3.66667
286,3.66667
287,3.66667
288,3.66667
289,3.83333
290,3.83333
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,4.16667
308,4.16667
309,4.16667
310,4.16667
311,4.16667
312,4.16667
313,4.16667
314,4.16667
315,4.16667
316,4.16667
317,4.16667
318,4.16667
319,4.33333
320,4.33333
321,4.5
322,4.5
323,4.5
324,4.5
325,4.66667
326,4.66667
327,4.66667
328,4.66667
329,4
330,4
331,4
332,4
333,4
334,4
335,4.14286
336,4.14286
337,4.14286
338,4.14286
339,4.28571
340,3.75
341,3.75
342,3.75
343,3.75
344,3.75
345,3.75
346,3.875
347,3.875
348,3.875
349,3.875
350,4
351,4
352,4
353,4
354,4
355,4
356,4
357,4
358,4
359,4
360,4
361,4.125
362,4.125
363,4.125
364,4.125
365,4.125
366,4.125
367,4.125
368,4.125
369,4.125
370,4.125
371,4.125
372,4.125
373,4.125
374,4.125
375,4.125
376,4.125
377,4.125
378,4.125
379,4.125
380,4.125
381,4.125
382,4.125
383,4.125
384,4.125
385,4.25
386,4.25
387,4.25
388,3.77778
389,3.77778
390,3.77778
391,3.77778
392,3.77778
393,3.77778
394,3.77778
395,3.77778
396,3.77778
397,3.4
398,3.4
399,3.5
400,3.5
401,3.18182
402,2.91667
403,2.91667
404,2.91667
405,2.91667
406,2.91667
407,2.91667
408,2.91667
409,3
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,3.08333
420,3.08333
421,3.08333
422,3.08333
423,3.08333
424,3.08333
425,3.16667
426,3.16667
427,3.16667
428,3.25
429,3.25
430,3.33333
431,3.33333
432,3.33333
433,3.33333
434,3.33333
435,3.33333
436,3.33333
437,3.33333
438,3.33333
439,3.33333
440,3.33333
441,3.07692
442,3.07692
443,3.07692
444,3.07692
445,3.15385
446,3.23077
447,3.23077
448,3.23077
449,3.23077
450,3.23077
451,3.23077
452,3.23077
453,3.23077
454,3.23077
455,3.23077
456,3.23077
457,3.23077
458,3.23077
459,3.23077
460,3.23077
461,3.30769
462,3.30769
463,3.07143
464,3.07143
465,3.07143
466,3.07143
467,3.07143
468,3.07143
469,2.86667
470,2.86667
471,2.86667
472,2.86667
473,2.86667
474,2.86667
475,2.93333
476,2.93333
477,2.93333
478,2.93333
479,2.93333
480,2.93333
481,3
482,3
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,3
493,3.06667
494,3.06667
495,3.06667
496,3.06667
497,3.06667
498,3.13333
499,3.13333
500,3.13333
501,3.2
502,3.26667
503,3.26667
504,3.26667
505,3.26667
506,3.33333
507,3.4
508,3.4
509,3.4
510,3.4
511,3.4
512,3.4
513,3.4
514,3.4
515,3.4
516,3.4
517,3.4
518,3.4
519,3.4
520,3.4
521,3.4
522,3.4
523,3.4
524,3.4
525,3.4
526,3.4
527,3.4
528,3.46667
529,3.46667
530,3.46667
531,3.53333
532,3.53333
533,3.53333
534,3.53333
535,3.53333
536,3.53333
537,3.53333
538,3.53333
539,3.53333
540,3.53333
541,3.53333
542,3.6
543,3.6
544,3.6
545,3.6
546,3.6
547,3.66667
548,3.66667
549,3.4375
550,3.4375
551,3.5
552,3.5
553,3.5
554,3.5
555,3.5
556,3.5625
557,3.35294
558,3.35294
559,3.35294
560,3.35294
561,3.35294
562,3.16667
563,3.16667
564,3.16667
565,3.16667
566,3.16667
567,3.16667
568,3.22222
569,3.22222
570,3.22222
571,3.22222
572,3.22222
573,3.22222
574,3.22222
575,3.05263
576,3.05263
577,3.05263
578,3.05263
579,3.05263
580,3.05263
581,2.9
582,2.9
583,2.9
584,2.9
585,2.9
586,2.9
587,2.9
588,2.9
589,2.9
590,2.9
591,2.9
592,2.9
593,2.95
594,2.95
595,2.95
596,3
597,2.85714
598,2.90476
599,2.90476
600,2.90476
601,2.90476
602,2.90476
603,2.90476
604,2.90476
605,2.95238
606,2.81818
607,2.81818
608,2.81818
609,2.81818
610,2.81818
611,2.81818
612,2.81818
613,2.81818
614,2.81818
615,2.81818
616,2.86364
617,2.86364
618,2.86364
619,2.86364
620,2.86364
621,2.86364
622,2.86364
623,2.86364
624,2.86364
625,2.86364
626,2.86364
627,2.86364
628,2.86364
629,2.86364
630,2.86364
631,2.86364
632,2.86364
633,2.86364
634,2.73913
635,2.73913
636,2.73913
637,2.73913
638,2.73913
639,2.73913
640,2.73913
641,2.73913
642,2.73913
643,2.73913
644,2.73913
645,2.73913
646,2.73913
647,2.73913
648,2.73913
649,2.73913
650,2.73913
651,2.73913
652,2.73913
653,2.73913
654,2.73913
655,2.73913
656,2.73913
657,2.73913
658,2.78261
659,2.78261
660,2.78261
661,2.78261
662,2.78261
663,2.78261
664,2.78261
665,2.78261
666,2.78261
667,2.78261
668,2.78261
669,2.78261
670,2.78261
671,2.78261
672,2.78261
673,2.78261
674,2.78261
675,2.78261
676,2.78261
677,2.78261
678,2.78261
679,2.78261
680,2.78261
681,2.78261
682,2.78261
683,2.82609
684,2.82609
685,2.82609
686,2.82609
687,2.82609
688,2.82609
689,2.82609
690,2.82609
691,2.82609
692,2.82609
693,2.86957
694,2.86957
695,2.86957
696,2.86957
697,2.86957
698,2.86957
699,2.86957
700,2.86957
701,2.86957
702,2.86957
703,2.86957
704,2.86957
705,2.86957
706,2.86957
707,2.86957
708,2.86957
709,2.86957
710,2.86957
711,2.86957
712,2.86957
713,2.86957
714,2.86957
715,2.86957
716,2.86957
717,2.91304
718,2.91304
719,2.91304
720,2.91304
721,2.91304
722,2.91304
723,2.91304
724,2.91304
725,2.91304
726,2.91304
727,2.91304
728,2.91304
729,2.91304
730,2.79167
731,2.79167
732,2.79167
733,2.79167
734,2.79167
735,2.79167
736,2.79167
737,2.79167
738,2.79167
739,2.79167
740,2.79167
741,2.83333
742,2.83333
743,2.72
744,2.72
745,2.76
746,2.76
747,2.76
748,2.8
749,2.8
750,2.8
751,2.8
752,2.8
753,2.8
754,2.8
755,2.8
756,2.8
757,2.8
758,2.8
759,2.8
760,2.8
761,2.8
762,2.8
763,2.8
764,2.8
765,2.8
766,2.8
767,2.8
768,2.8
769,2.84
770,2.84
771,2.84
772,2.84
773,2.84
774,2.84
775,2.84
776,2.84
777,2.84
778,2.84
779,2.84
780,2.84
781,2.84
782,2.84
783,2.84
784,2.84
785,2.84
786,2.84
787,2.84
788,2.84
789,2.84
790,2.84
791,2.84
792,2.84
793,2.88
794,2.88
795,2.88
796,2.88
797,2.88
798,2.88
799,2.88
800,2.88
801,2.88
802,2.88
803,2.88
804,2.88
805,2.88
806,2.88
807,2.88
808,2.88
809,2.88
810,2.88
811,2.88
812,2.92
813,2.92
814,2.92
815,2.92
816,2.92
817,2.92
818,2.92
819,2.80769
820,2.80769
821,2.80769
822,2.80769
823,2.80769
824,2.80769
825,2.84615
826,2.84615
827,2.84615
828,2.84615
829,2.84615
830,2.84615
831,2.84615
832,2.84615
833,2.84615
834,2.84615
835,2.84615
836,2.84615
837,2.84615
838,2.84615
839,2.84615
840,2.84615
841,2.84615
842,2.84615
843,2.84615
844,2.84615
845,2.84615
846,2.84615
847,2.84615
848,2.84615
849,2.84615
850,2.84615
851,2.84615
852,2.84615
853,2.84615
854,2.88462
855,2.88462
856,2.88462
857,2.88462
858,2.88462
859,2.88462
860,2.88462
861,2.88462
862,2.88462
863,2.88462
864,2.88462
865,2.88462
866,2.88462
867,2.88462
868,2.88462
869,2.88462
870,2.88462
871,2.88462
872,2.88462
873,2.88462
874,2.88462
875,2.88462
876,2.88462
877,2.88462
878,2.88462
879,2.88462
880,2.88462
881,2.88462
882,2.88462
883,2.88462
884,2.88462
885,2.88462
886,2.88462
887,2.88462
888,2.88462
889,2.88462
890,2.88462
891,2.88462
892,2.88462
893,2.88462
894,2.88462
895,2.92308
896,2.81481
897,2.81481
898,2.81481
899,2.81481
900,2.81481
901,2.81481
902,2.81481
903,2.85185
904,2.85185
905,2.85185
906,2.85185
907,2.88889
908,2.88889
909,2.88889
910,2.88889
911,2.88889
912,2.88889
913,2.88889
914,2.88889
915,2.88889
916,2.88889
917,2.92593
918,2.96296
919,2.96296
920,2.96296
921,2.96296
922,2.96296
923,2.96296
924,3
925,3
926,3
927,3
928,3
929,3
930,3
931,3
932,3.03704
933,3.03704
934,3.03704
935,3.03704
936,3.03704
937,3.03704
938,3.03704
939,3.03704
940,3.03704
941,3.03704
942,3.03704
943,3.03704
944,3.03704
945,3.03704
946,3.03704
947,3.03704
948,3.03704
949,3.03704
950,2.92857
951,2.92857
952,2.92857
953,2.96429
954,2.96429
955,2.96429
956,3
957,3
958,3
959,3
960,3
961,3
962,3.03571
963,3.03571
964,3.03571
965,3.03571
966,3.03571
967,3.03571
968,3.03571
969,3.07143
970,3.07143
971,3.07143
972,3.07143
973,3.07143
974,3.10714
975,3.10714
976,3.10714
977,3.10714
978,3.10714
979,3.10714
980,3.10714
981,3.14286
982,3.14286
983,3.14286
984,3.14286
985,3.14286
986,3.14286
987,3.14286
988,3.14286
989,3.17857
990,3.17857
991,3.17857
992,3.06897
993,3.06897
994,3.06897
995,3.06897
996,3.06897
997,3.06897
998,3.06897
999,3.06897
1000,3.06897
1001,3.06897
1002,3.06897
1003,3.06897
1004,3.06897
1005,3.06897
1006,3.06897
1007,3.06897
1008,3.06897
1009,3.06897
1010,3.06897
1011,3.06897
1012,3.06897
1013,3.06897
1014,3.06897
1015,2.96667
1016,2.96667
1017,2.96667
1018,2.96667
1019,2.96667
1020,3
1021,3
1022,3
1023,3
1024,3
1025,3.03333
1026,3.06667
1027,3.06667
1028,3.06667
1029,3.06667
1030,3.06667
1031,3.06667
1032,3.06667
1033,3.06667
1034,3.06667
1035,3.1
1036,3.1
1037,3.1
1038,3.1
1039,3.13333
1040,3.13333
1041,3.13333
1042,3.13333
1043,3.13333
1044,3.13333
1045,3.13333
1046,3.13333
1047,3.13333
1048,3.13333
1049,3.13333
1050,3.13333
1051,3.13333
1052,3.13333
1053,3.13333
1054,3.13333
1055,3.13333
1056,3.13333
1057,3.16667
1058,3.16667
1059,3.16667
1060,3.16667
1061,3.16667
1062,3.16667
1063,3.16667
1064,3.16667
1065,3.16667
1066,3.16667
1067,3.16667
1068,3.2
1069,3.23333
1070,3.23333
1071,3.23333
1072,3.23333
1073,3.23333
1074,3.23333
1075,3.26667
1076,3.26667
1077,3.3
1078,3.3
1079,3.3
1080,3.19355
1081,3.19355
1082,3.19355
1083,3.19355
1084,3.19355
1085,3.19355
1086,3.19355
1087,3.19355
1088,3.19355
1089,3.19355
1090,3.19355
1091,3.19355
1092,3.22581
1093,3.25806
1094,3.25806
1095,3.29032
1096,3.29032
1097,3.29032
1098,3.29032
1099,3.29032
1100,3.29032
1101,3.29032
1102,3.29032
1103,3.32258
1104,3.32258
1105,3.32258
1106,3.32258
